"Dashboard","Panel klienta"
"Notify supplier when product was ordered","Powiadom dostawcę kiedy produkt zostanie zamówiony"
"Email title when product was ordered","Tytuł emaila dotyczącego zamówienia produktu"
"Email text on product was ordered","Treść emaila dotyczącego zamówienia produktu"
"Show prices in the built in email when the supplier's product was ordered","Pokaż ceny we wbudowanym e-mailu, gdy zamówiono produkt dostawcy"
"Products Settings","Ustawienia Produktów"
"Adding Products","Dodawanie Produktów"
"Attributes set","Zbiór Atrybutów"
"Maximum allowed images","Maksymalna liczba zdjęć"
"Product tax class","Grupa podatkowa produktu"
"Supplier can define SKU","Dostawca może definiować SKU"
"Auto increment SKU number","Automatyczne ustawianie numeru SKU"
"Allowed","Dozwolone"
"Not allowed","Niedozwolone"
"Don't show","Nie pokazuj"
"Show Custom","Pokaż niestandardowe"
"Show Default","Pokaż domyślne"
"Approve","Zatwierdź"
"Disapprove","Odrzuć"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"New Product","Nowy Produkt"
"Use Existing Product","Użyj istniejącego"
"SKU Configuration","Konfiguracja SKU"
"Qty for Item's Status to Become Out of Stock", "Ilość, dla której status produktu jest niedostępny"
"Qty Uses Decimals","Qty Uses Decimals"
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Backorders","Backorders"
"Notify for Quantity Below","Notify for Quantity Below"
"Enable Qty Increments","Enable Qty Increments"
"More Actions","Więcej akcji"
"Delete","Usuń"
"Clone","Sklonuj"
"Preview","Podgląd"
"Configurable Attributes","Atrybuty konfigurowalne"
"I agree to the <a href=""%s"" target=""_blank"">terms and conditions</a> of service","I agree to the <a href=""%s"" target=""_blank"">terms and conditions</a> of service"
"Terms of Service Update.","Terms of Service Update."
"I agree","I agree"
"A change in our Terms of Service has been made. Please read them carefully <a href=""%s"" target=""_blank"">here</a>.","A change in our Terms of Service has been made. Please read them carefully <a href=""%s"" target=""_blank"">here</a>."
